# AQL Language Specification: the aql:vault module (host-vault bridge words)
# Format: input<TAB>expected<TAB>description
#
# Loadable module bridging AQL to the host's secret vault
# (design/VAULT-TUI-PORT.0.md §3). The words are reached only after
# `import`, under the `Vault` namespace: `import "aql:vault" Vault.word args`.
#
#   Vault.status / secrets / secret / reveal      — reads
#   Vault.add / rotate / remove / rename / …      — mutations
#   Vault.grant / revoke / passwords / …          — access + passwords
#   Vault.verify / scan / history / restore / …   — maintenance
#   Vault.vaults / switch / create / …            — multi-vault index
#   Vault.copy                                    — clipboard
#
# The spec harness registers NO vault backend (there is no vault on CI),
# so every reachable word pins the first-class no_backend error, and the
# usage contract is pinned BEFORE the backend lookup — malformed
# arguments raise vault_usage headlessly. Live happy paths run in Go
# against a scripted fake (lang/go/modules/vault_test.go), exactly how
# module-tui.tsv leaves live terminals to Go.
#
# ─────────────────────────────────────────────────────────────────────
# §1  import binds the Vault namespace
import "aql:vault" convert List Vault.$module	['Vault']	import binds the Vault namespace
import "aql:vault"  Vault.secret "a"	ERROR:no vault backend registered	secret requires a registered backend
import "aql:vault"  Vault.rotate {alias: "a" value: "v"}	ERROR:no vault backend registered	a valid rotate reaches the backend lookup
import "aql:vault"  Vault.remove "a"	ERROR:no vault backend registered	remove requires a registered backend
import "aql:vault"  Vault.rename {from: "a" to: "b"}	ERROR:no vault backend registered	a valid rename reaches the backend lookup
import "aql:vault"  Vault.set-expiry "a" "2030-01-01"	ERROR:no vault backend registered	set-expiry requires a registered backend
import "aql:vault"  Vault.clear-expiry "a"	ERROR:no vault backend registered	clear-expiry requires a registered backend
import "aql:vault"  Vault.recipes "a"	ERROR:no vault backend registered	recipes requires a registered backend
import "aql:vault"  Vault.capabilities	ERROR:no vault backend registered	capabilities requires a registered backend
import "aql:vault"  Vault.grant {alias: "a"}	ERROR:no vault backend registered	a valid grant reaches the backend lookup
import "aql:vault"  Vault.revoke "id"	ERROR:no vault backend registered	revoke requires a registered backend
import "aql:vault"  Vault.passwords	ERROR:no vault backend registered	passwords requires a registered backend
import "aql:vault"  Vault.password-add {name: "n" pass: "p"}	ERROR:no vault backend registered	a valid password-add reaches the backend lookup
import "aql:vault"  Vault.password-remove "n"	ERROR:no vault backend registered	password-remove requires a registered backend
import "aql:vault"  Vault.password-revoke-temp	ERROR:no vault backend registered	password-revoke-temp requires a registered backend
import "aql:vault"  Vault.temp-password-count	ERROR:no vault backend registered	temp-password-count requires a registered backend
import "aql:vault"  Vault.verify {}	ERROR:no vault backend registered	verify requires a registered backend
import "aql:vault"  Vault.history	ERROR:no vault backend registered	history requires a registered backend
import "aql:vault"  Vault.audit {}	ERROR:no vault backend registered	audit requires a registered backend
import "aql:vault"  Vault.config-set "k" "v"	ERROR:no vault backend registered	config-set requires a registered backend
import "aql:vault"  Vault.config-unset "k"	ERROR:no vault backend registered	config-unset requires a registered backend
import "aql:vault"  Vault.unlock	ERROR:no vault backend registered	unlock requires a registered backend
import "aql:vault"  Vault.locked	ERROR:no vault backend registered	locked requires a registered backend
import "aql:vault"  Vault.prefs	ERROR:no vault backend registered	prefs requires a registered backend
import "aql:vault"  Vault.set-prefs {}	ERROR:no vault backend registered	set-prefs requires a registered backend
import "aql:vault"  Vault.switch {folder: "/v"}	ERROR:no vault backend registered	a valid switch reaches the backend lookup
import "aql:vault"  Vault.create {folder: "/v" backend: "file"}	ERROR:no vault backend registered	a valid create reaches the backend lookup
import "aql:vault"  Vault.set-default	ERROR:no vault backend registered	set-default requires a registered backend
import "aql:vault"  Vault.prune-index {folder: "/v"}	ERROR:no vault backend registered	prune-index requires a registered backend
#
# §4  usage is validated BEFORE the backend lookup — malformed arguments
#     raise vault_usage with no backend registered (the headless
#     contract; positives for these shapes live in vault_test.go)
import "aql:vault"  Vault.add {}	ERROR:alias: required	add requires an alias
import "aql:vault"  Vault.add {alias: "a"}	ERROR:value: required	add requires a value
import "aql:vault"  Vault.add {alias: "a" value: ""}	ERROR:value: must be a non-empty String	an empty secret value is refused
import "aql:vault"  Vault.add {alias: "a" value: 5}	ERROR:value: must be a non-empty String	a non-String secret value is refused
import "aql:vault"  Vault.rotate {alias: "a"}	ERROR:value: required	rotate requires the new value
import "aql:vault"  Vault.rename {from: "a"}	ERROR:to: required	rename requires both ends
import "aql:vault"  Vault.grant {}	ERROR:alias: required	grant requires an alias
import "aql:vault"  Vault.password-add {name: "ci"}	ERROR:pass: required	password-add requires the pass
import "aql:vault"  Vault.switch {}	ERROR:folder: required	switch requires a folder
import "aql:vault"  Vault.create {folder: "/v"}	ERROR:backend: required	create requires a backend
import "aql:vault"  Vault.scan [5]	ERROR:paths: elements must be Strings	scan paths must be Strings
#
# §5  negative — wrong-typed positional args fail dispatch
import "aql:vault"  Vault.reveal 5	ERROR:uncalled_function	reveal requires a String alias
import "aql:vault"  Vault.restore "x"	ERROR:uncalled_function	restore requires an Integer generation
import "aql:vault"  Vault.set-expiry "a" 5	ERROR:uncalled_function	set-expiry requires String args
#
# §6  `identity` — an opaque handle to a vault-held TLS client
#     credential (design/NETWORK-TLS-PLAN.0.md §5). It is deliberately
#     NOT a String: `reveal` yields a secret an AQL program can print,
#     which is right for an API token and wrong for a private key. The
#     handle is accepted only as `tls: {identity: …}` and needs no
#     backend to mint — the vault is read lazily, at the handshake.
import "aql:vault"  Vault.identity "acme-mtls"	<vault identity>	minting a credential handle needs no vault backend
import "aql:vault"  typeof (Vault.identity "acme-mtls")	VaultIdentity	the handle carries its own opaque type
import "aql:vault"  Vault.identity ""	ERROR:alias must be a non-empty String	an empty alias names no credential
import "aql:vault"  Vault.identity 5	ERROR:uncalled_function	identity requires a String alias
