# tokens	expected	note
# =====================================================================		
# map — key/value associative collection		
# =====================================================================		
# A map is AQL's associative type: insertion-ordered key:value pairs		
# produced by `{…}` literal syntax. Maps come in three structurally-		
# similar but semantically distinct flavours:		
#		
#   1. Concrete map        `{a:1 b:2}` — actual data; VType=Map.		
#   2. Implicit shape       `{a:Integer b:String}` — every value is a		
#                           type literal; the parser flags it as a		
#                           Node-family TYPE for record-shape `is`		
#                           checks.		
#   3. Typed map            `{: T …}` — child-type constraint applied		
#                           to every value.		
#		
# This file covers all three plus the runtime accessors (`.key`		
# dotted, `get`), and rejection of carrier / type-literal arguments.		
		
		
# ====================================================================		
# 1. Construction and rendering		
# ====================================================================		
		
{ }	{}	empty map literal
{: Integer a:1 b:2 } is Map	true	a typed map IS still a Map
{: Integer a:1 b:2 } is {: Integer }	true	and satisfies its child-type constraint
		
# Plain map satisfies a typed-map type if every value unifies with T.		
{ a:1 b:2 } is {: Integer }	true	all-Integer values
{ a:1 b:'x' } is {: Integer }	false	wrong value type
		
# ====================================================================		
# 5. Field accessors		
# ====================================================================		
# The dotted accessor `m.k` is the idiomatic way to read a field.		
# The parser expands `m.k` into `( m get k )` so it works on any		
# map-shaped value, with the key resolved as an Atom-typed lookup.		
		
# Dotted accessor.		
{ a:1 b:2 }.a	1	
{ a:1 b:2 }.b	2	
{ x:'hello' y:'world' }.x	'hello'	
		
# Chained dotted access on nested maps.		
{ outer:{ inner:99 } }.outer.inner	99	
{ a:{ b:{ c:42 } } }.a.b.c	42	
		
# Missing keys yield the special `none` value.		
{ a:1 }.b	None	dotted access on a missing key returns the None type literal
		
# A dotted chain is grouped, so it composes as a single forward		
# argument to a preceding word — `size m.x` means `size (m.x)`,		
# not `(size m).x`.		
def m { x:[ 1 2 3 ] } size m.x	3	dotted chain composes as one forward argument
def a { n:10 } def b { n:20 } add a.n b.n	30	two dotted forward arguments
		
# As a map VALUE a dotted chain works directly — `{ x:a.b }` is folded		
# into the same form as the explicit `{ x:(a.b) }`, evaluated inline by		
# autoEvalMap. Both spellings are accepted.		
def a { b:5 } { x:(a.b) }	{x:5}	parenthesised dotted access as a map value
def a { b:{ c:9 } } { y:(a.b.c) }	{y:9}	chained dotted access, parenthesised
def a { b:5 } { x:a.b }	{x:5}	bare dotted access as a map value (no parens needed)
def a { b:{ c:9 } } { y:a.b.c }	{y:9}	bare chained dotted access as a map value
def a { b:5 } { p:a.b q:9 }	{p:5 q:9}	dotted value followed by another pair
		
# ====================================================================		
# 7. Composition with def		
# ====================================================================		
# A simple-value def captures the map under its name; subsequent		
# references substitute the map value.		
		
def m { a:1 b:2 } m	{a:1 b:2}	map round-trips through the def stack
def m { a:5 b:7 } m.a	5	dotted access on a def-bound map
def m { a:5 b:7 } m.b add 1	8	field access composes with arithmetic
		
# ====================================================================		
# 8. Map equality via `is`		
# ====================================================================		
# Two concrete maps with matching keys and unifying values satisfy		
# each other when used as types.		
		
{ a:1 b:2 } is { a:1 b:2 }	true	identical maps unify
{ a:1 } is { a:1 b:2 }	false	missing key fails
{ a:1 b:9 } is { a:1 b:2 }	false	mismatched literal value
		
# ====================================================================		
# 9. Map value auto-evaluation — bare words must resolve		
# ====================================================================		
# A bare word in a map value is auto-evaluated: it must name a binding		
# that resolves (a value, or a fn dispatchable with the args present).		
# Bare words never degrade to data — a fn that cannot be called with		
# the available args is an error. Use `/r` to store a fn as a callable		
# data value, or `/q` to store a bare word as an atom.		
def x 5 def m {a:x} m	{a:5}	scalar binding resolves
def g fn [[] [Integer] [42]] def m {a:g} m	{a:42}	0-arg fn dispatches
def base 10 def m {x:(base add 5)} m	{x:15}	paren value evaluates inline
def f fn [[x:Integer] [Integer] [add x 1]] def m {b:f} m	ERROR:signature	bare 1-arg fn cannot dispatch 0-arg — no silent degrade to word(f)
def f fn [[x:Integer] [Integer] [add x 1]] def m {b:f/r} m.b 2	3	/r stores the fn as data; the arg then calls it
def m {k:foo/q} m.k is Atom	true	/q stores a bare word as atom data
		
# ====================================================================		
# 10. Shorthand field syntax — {foo} desugars to {foo: foo}		
# ====================================================================		
# A colon-less unquoted identifier is sugar for a key:value pair whose		
# value is the same auto-evaluated word. The key is the base name; a		
# word modifier stays on the value (/r, /q) and a trailing ? makes the		
# field optional. Only unquoted identifiers trigger it.		
def foo 1 {foo}	{foo:1}	plain shorthand desugars to {foo: foo}
def foo 1 def bar 2 {foo bar}	{bar:2 foo:1}	two shorthands, keys sorted
def foo 1 {foo a:9}	{a:9 foo:1}	shorthand mixed with explicit pair
def foo 5 {a:{foo}}	{a:{foo:5}}	nested shorthand
def f fn [[x:Integer] [Integer] [add x 1]] {f}	ERROR:signature	bare 1-arg fn shorthand cannot dispatch 0-arg
def f fn [[x:Integer] [Integer] [add x 1]] ({f/r}).f 2	3	/r shorthand stores the fn as data; the arg calls it
def foo 1 ({foo/q}).foo is Atom	true	/q shorthand stores a bare word as atom data
